"plantio";"area";"dataplantio";"matgen";"espacamento";"parcela";"areaparc";"datamedicao";"idade";"fila";"cova";"fuste";"cat";"dap";"ht";"decliv_perc";"ffcc"
2169;58,71;"2017-11-20";35;"3,45X2,40";"23";469,9;"2020-09-15";2,81998631074606;2;15;1;"Normal";12,64;18,6464244200222;4,2;0,438628078126623
2169;58,71;"2017-11-20";35;"3,45X2,40";"23";469,9;"2020-09-15";2,81998631074606;3;16;1;"Normal";10,92;17,2251725318616;4,2;0,441861274510094
2169;58,71;"2017-11-20";35;"3,45X2,40";"23";469,9;"2020-09-15";2,81998631074606;3;17;1;"Normal";10,92;17,2251725318616;4,2;0,441861274510094
2169;58,71;"2017-11-20";35;"3,45X2,40";"23";469,9;"2020-09-15";2,81998631074606;3;18;1;"Torta";11,3;17,5954987280725;4,2;0,441222989056832
2169;58,71;"2017-11-20";35;"3,45X2,40";"23";469,9;"2020-09-15";2,81998631074606;3;19;1;"Normal";11,08;17,3853135896825;4,2;0,441598593908723
2169;58,71;"2017-11-20";35;"3,45X2,40";"23";469,9;"2020-09-15";2,81998631074606;3;20;1;"Normal";12,8;18,7565213972741;4,2;0,438324332477669
2169;58,71;"2017-11-20";35;"3,45X2,40";"23";469,9;"2020-09-15";2,81998631074606;3;21;1;"Normal";11,55;17,82570149869;4,2;0,440829790699561
2169;58,71;"2017-11-20";35;"3,45X2,40";"23";469,9;"2020-09-15";2,81998631074606;3;22;0;"falha";NA;NA;4,2;NA
2169;58,71;"2017-11-20";35;"3,45X2,40";"23";469,9;"2020-09-15";2,81998631074606;3;23;1;"Normal";12,99;18,8666183745259;4,2;0,437842969909705
2169;58,71;"2017-11-20";35;"3,45X2,40";"23";469,9;"2020-09-15";2,81998631074606;3;24;1;"Normal";12;18,1960276949009;4,2;0,440005735897927
2169;58,71;"2017-11-20";35;"3,45X2,40";"23";469,9;"2020-09-15";2,81998631074606;4;25;1;"Normal";12,64;18,8165742939569;4,2;0,4393246035473
2169;58,71;"2017-11-20";35;"3,45X2,40";"23";469,9;"2020-09-15";2,81998631074606;4;26;1;"Normal";13,11;18,7164861328188;4,2;0,436679632489424
2169;58,71;"2017-11-20";35;"3,45X2,40";"23";469,9;"2020-09-15";2,81998631074606;4;27;1;"Normal";12,86;19,016750616233;4,2;0,439079920464645
2169;58,71;"2017-11-20";35;"3,45X2,40";"23";469,9;"2020-09-15";2,81998631074606;4;28;1;"Normal";12,83;18,2160453271285;4,2;0,435918974697013
2169;58,71;"2017-11-20";35;"3,45X2,40";"23";469,9;"2020-09-15";2,81998631074606;4;29;1;"Normal";11,55;17,9157808437143;4,2;0,441172705617288
2169;58,71;"2017-11-20";35;"3,45X2,40";"23";469,9;"2020-09-15";2,81998631074606;4;30;1;"Normal";13,24;19,0067418001192;4,2;0,437251592085966
2169;58,71;"2017-11-20";35;"3,45X2,40";"23";469,9;"2020-09-15";2,81998631074606;4;31;1;"Normal";11,46;17,7456309697796;4,2;0,440997898071887
2169;58,71;"2017-11-20";35;"3,45X2,40";"23";469,9;"2020-09-15";2,81998631074606;4;32;1;"Dominante";13,75;18,4162216494046;4,2;0,432361587982939
2169;58,71;"2017-11-20";35;"3,45X2,40";"23";469,9;"2020-09-15";2,81998631074606;4;33;1;"Normal";10,85;17,155110819065;4,2;0,44196305009881
2169;58,71;"2017-11-20";35;"3,45X2,40";"23";469,9;"2020-09-15";2,81998631074606;4;34;1;"Normal";13,24;19,0067418001192;4,2;0,437251592085966
2169;58,71;"2017-11-20";35;"3,45X2,40";"23";469,9;"2020-09-15";2,81998631074606;5;35;1;"Normal";12,61;18,6364156039084;4,2;0,438718136130524
2169;58,71;"2017-11-20";35;"3,45X2,40";"23";469,9;"2020-09-15";2,81998631074606;5;36;1;"Normal";12,8;18,7565213972741;4,2;0,438324332477669
2169;58,71;"2017-11-20";35;"3,45X2,40";"23";469,9;"2020-09-15";2,81998631074606;5;37;1;"Normal";12,54;18,5863715233394;4,2;0,438894428694297
2169;58,71;"2017-11-20";35;"3,45X2,40";"23";469,9;"2020-09-15";2,81998631074606;5;38;1;"Normal";12,25;18,3861952010632;4,2;0,439478443341588
2169;58,71;"2017-11-20";35;"3,45X2,40";"23";469,9;"2020-09-15";2,81998631074606;5;39;1;"Normal";12,22;18,3661775688356;4,2;0,439564665839132
2169;58,71;"2017-11-20";35;"3,45X2,40";"23";469,9;"2020-09-15";2,81998631074606;5;40;1;"Ponta Seca";11,49;17,775657418121;4,2;0,440943686873544
