m_parcela;m_plantio;matgen;espacamento;medicao;idade;dapmin;dapmed;dapmax;s2dap;dg;g;htmin;htmed;htmax;s2ht;ddom;hdom;vtcc
171;47;27;5,00 X 3,00;2;3,452429843;13,05070533;14,95525949;16,2338042;0,473070936;14,97054068;11,26847869;12,23464341;14,47301452;15,8;0,74497632;15,85183233;15,32;76,8447128
172;47;27;5,00 X 3,00;2;3,452429843;8,276057041;13,2981656;16,87042397;3,631871991;13,42966579;9,794106245;5,907196429;12,10111536;15,1;5,180418041;15,89162107;14,45;58,34341485
173;47;27;5,00 X 3,00;2;3,452429843;7,321127382;14,41943784;18,14366351;6,62721598;14,64013738;11,73345529;4,556650382;13,82664627;17,3;8,320409793;17,49112825;16,4;79,82640169
174;47;27;5,00 X 3,00;2;3,452429843;7,639437268;13,55502756;16,87042397;5,205562723;13,73978388;10,62810948;5,004443879;12,62775728;16,5;9,136029044;16,3531704;16;68,00527724
178;49;27;5,00 X 3,00;2;3,370294319;6,366197724;13,78764095;18,14366351;7,028784837;14,03263462;11,4291034;13,75028936;15,70016774;17,3;0,506510965;17,20464935;16,65;85,88921385
180;49;27;5,00 X 3,00;2;3,370294319;5,411268065;14,11077371;16,55211408;6,067269831;14,31772845;11,37354134;12,03759061;15,63390091;17;0,819282646;16,2338042;16,4;84,74005922
200;55;27;4,50 X 2,00;2;4,219028063;9,326479665;12,58788276;16,55211408;3,609110602;12,72759682;13,44904862;12,04004629;14,3820737;17,2;2,339169427;15,85183233;16,46;94,57033573
201;55;27;4,50 X 2,00;2;4,219028063;9,262817688;13,90759555;17,79352264;3,714427975;14,0378543;15,87596678;12,87094694;15,03664572;17,1;0,661935664;16,95318454;15,52;112,89153
202;55;27;4,50 X 2,00;2;4,219028063;8,912676813;12,2383785;14,51493081;1,88206125;12,31350188;12,80554641;11,66707037;14,26050166;16,4;1,023071503;14,2666491;15,34;86,51080431
217;60;27;3,5 X 3,00;2;3,312799452;6,748169587;12,48113381;17,95267758;5,108492231;12,6798463;11,33399205;11,01365643;13,38302531;15;0,573448377;15,17064918;14,22;73,34366469
218;61;27;5,00 X 2,40;2;3,290896646;5,729577951;14,10630975;16,74310001;4,593223626;14,26444458;11,59751799;1,323047181;13,02112506;15,9;11,1349634;16,12239574;15,6;74,94552505
219;61;27;5,00 X 2,40;2;3,290896646;12,41408556;14,40140028;15,9473253;1,009695875;14,43524747;10,81681546;10,55901849;13,24659904;15,1;1,764632277;15,59081823;14,46;68,29695766
220;61;27;5,00 X 2,40;2;3,290896646;9,867606472;14,70048218;16,55211408;1,61981682;14,75413452;11,51930717;6,669482649;14,01436982;17;3,902316269;16,2338042;16,26666667;77,35815283
221;61;27;5,00 X 2,40;2;3,290896646;5,53859202;15,36906234;17,57070572;5,403182768;15,53971083;13,10259071;1,158267037;14,83231207;18;10,90709971;17,37971979;17,73333333;95,76505334
256;73;27;5,00 X 2,40;2;3,370294319;7,002817496;11,11289686;13,11436731;1,218751742;11,16626628;6,879424216;3,825770169;9,82378886;11,9;2,537359705;12,47774754;11,58333333;32,94604539
257;73;27;5,00 X 2,40;2;3,370294319;9,071831756;14,45126883;17,15690287;2,291173187;14,52825007;10,91998739;10,72623002;14,75764593;17,2;2,455617167;16,41948496;16,6;76,36530731
269;78;27;5,00 X 3,00;2;3,293634497;8,435211984;13,51862087;15,69267739;3,586430999;13,64624466;9,240775925;8,118657351;12,34491815;13,7;2,148874299;15,08152241;13,46783255;56,18198882
270;78;27;5,00 X 3,00;2;3,293634497;7,703099246;13,06343773;16,4884521;3,42476781;13,18954185;8,512835965;7,250813233;12,42027454;14,6;2,739638631;15,68631119;14,32;51,21506194
271;78;27;5,00 X 3,00;2;3,293634497;9,167324722;11,97072536;14,00563499;1,100417746;12,01496495;6,865546358;8,927703229;11,49524299;12,7;0,738373434;13,54090256;12,58;37,44395292
272;78;27;5,00 X 3,00;2;3,293634497;7,321127382;12,19895198;15,91549431;3,176900757;12,3240327;7,223668285;6,774426503;11,23452412;13,2;1,902477183;13,82101526;12,34;40,03262853
273;79;27;5,00 X 3,00;2;3,307323751;5,920563883;10,69831764;15,91549431;5,281103509;10,93646636;8,429777816;7,3;11,10344001;14,4;2,486384019;13,96107161;12,83393347;46,43520862
282;83;27;5,00 X 3,00;2;3,370294319;7,957747155;12,58761579;14,51493081;1,53892279;12,64663399;8,0962421;12;12,60292901;12,75697247;0,03468087;14,06929697;12,46;47,96517785
